Pretraining EPNet (Epoch [  1/5]) --- Loss: 0.693, AUC: 0.92, AP Score: 0.92
Pretraining NCNet (Epoch [ 68/300]) --- Loss: 0.849, Val Acc: 0.56
Pretraining NCNet (Epoch [ 69/300]) --- Loss: 0.838, Val Acc: 0.57
Pretraining NCNet (Epoch [ 70/300]) --- Loss: 0.875, Val Acc: 0.56
Pretraining NCNet (Epoch [ 71/300]) --- Loss: 0.865, Val Acc: 0.55
Pretraining NCNet (Epoch [ 72/300]) --- Loss: 0.861, Val Acc: 0.55
Pretraining NCNet (Epoch [ 73/300]) --- Loss: 0.860, Val Acc: 0.55
Pretraining NCNet (Epoch [ 74/300]) --- Loss: 0.884, Val Acc: 0.52
Pretraining NCNet (Epoch [ 75/300]) --- Loss: 0.857, Val Acc: 0.53
Pretraining NCNet (Epoch [ 76/300]) --- Loss: 0.923, Val Acc: 0.54
Pretraining NCNet (Epoch [ 77/300]) --- Loss: 0.876, Val Acc: 0.50
Pretraining NCNet (Epoch [ 78/300]) --- Loss: 0.958, Val Acc: 0.57
Pretraining NCNet (Epoch [ 79/300]) --- Loss: 0.806, Val Acc: 0.50
Pretraining NCNet (Epoch [ 80/300]) --- Loss: 0.910, Val Acc: 0.57
Pretraining NCNet (Epoch [ 81/300]) --- Loss: 0.792, Val Acc: 0.52
Pretraining NCNet (Epoch [ 82/300]) --- Loss: 0.894, Val Acc: 0.57
Pretraining NCNet (Epoch [ 83/300]) --- Loss: 0.795, Val Acc: 0.54
Pretraining NCNet (Epoch [ 84/300]) --- Loss: 0.830, Val Acc: 0.56
Pretraining NCNet (Epoch [ 85/300]) --- Loss: 0.814, Val Acc: 0.53
Pretraining NCNet (Epoch [ 86/300]) --- Loss: 0.801, Val Acc: 0.56
Pretraining NCNet (Epoch [ 87/300]) --- Loss: 0.812, Val Acc: 0.57
Pretraining NCNet (Epoch [ 88/300]) --- Loss: 0.790, Val Acc: 0.54
Pretraining NCNet (Epoch [ 89/300]) --- Loss: 0.802, Val Acc: 0.55
Pretraining NCNet (Epoch [ 90/300]) --- Loss: 0.799, Val Acc: 0.55
Pretraining NCNet (Epoch [ 91/300]) --- Loss: 0.805, Val Acc: 0.57
Pretraining NCNet (Epoch [ 92/300]) --- Loss: 0.800, Val Acc: 0.53
Pretraining NCNet (Epoch [ 93/300]) --- Loss: 0.781, Val Acc: 0.56
Pretraining NCNet (Epoch [ 94/300]) --- Loss: 0.799, Val Acc: 0.54
