Pretraining EPNet (Epoch [ 62/290]) --- Loss: 0.485, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 63/290]) --- Loss: 0.485, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 64/290]) --- Loss: 0.485, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 65/290]) --- Loss: 0.485, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 66/290]) --- Loss: 0.485, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 67/290]) --- Loss: 0.485, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 68/290]) --- Loss: 0.485, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 69/290]) --- Loss: 0.484, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 70/290]) --- Loss: 0.484, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 71/290]) --- Loss: 0.484, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 72/290]) --- Loss: 0.484, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 73/290]) --- Loss: 0.484, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 74/290]) --- Loss: 0.484, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 75/290]) --- Loss: 0.484, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 76/290]) --- Loss: 0.484, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 77/290]) --- Loss: 0.484, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 78/290]) --- Loss: 0.484, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 79/290]) --- Loss: 0.483, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 80/290]) --- Loss: 0.483, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 81/290]) --- Loss: 0.483, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 82/290]) --- Loss: 0.483, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 83/290]) --- Loss: 0.483, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 84/290]) --- Loss: 0.483, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 85/290]) --- Loss: 0.483, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 86/290]) --- Loss: 0.483, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 87/290]) --- Loss: 0.483, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 88/290]) --- Loss: 0.483, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 89/290]) --- Loss: 0.483, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 90/290]) --- Loss: 0.482, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 91/290]) --- Loss: 0.482, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 92/290]) --- Loss: 0.482, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 93/290]) --- Loss: 0.482, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 94/290]) --- Loss: 0.482, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 95/290]) --- Loss: 0.482, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 96/290]) --- Loss: 0.482, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 97/290]) --- Loss: 0.482, AUC: 0.95, AP Score: 0.95
