Pretraining EPNet (Epoch [ 62/160]) --- Loss: 0.508, AUC: 0.95, AP Score: 0.94
Pretraining EPNet (Epoch [ 63/160]) --- Loss: 0.506, AUC: 0.95, AP Score: 0.94
Pretraining EPNet (Epoch [ 64/160]) --- Loss: 0.505, AUC: 0.95, AP Score: 0.94
Pretraining EPNet (Epoch [ 65/160]) --- Loss: 0.504, AUC: 0.95, AP Score: 0.94
Pretraining EPNet (Epoch [ 66/160]) --- Loss: 0.503, AUC: 0.95, AP Score: 0.94
Pretraining EPNet (Epoch [ 67/160]) --- Loss: 0.502, AUC: 0.95, AP Score: 0.94
Pretraining EPNet (Epoch [ 68/160]) --- Loss: 0.501, AUC: 0.95, AP Score: 0.94
Pretraining EPNet (Epoch [ 69/160]) --- Loss: 0.500, AUC: 0.95, AP Score: 0.94
Pretraining EPNet (Epoch [ 70/160]) --- Loss: 0.499, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 71/160]) --- Loss: 0.498, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 72/160]) --- Loss: 0.497, AUC: 0.95, AP Score: 0.95
Pretraining EPNet (Epoch [ 73/160]) --- Loss: 0.496, AUC: 0.96, AP Score: 0.95
Pretraining EPNet (Epoch [ 74/160]) --- Loss: 0.495, AUC: 0.96, AP Score: 0.95
Pretraining EPNet (Epoch [ 75/160]) --- Loss: 0.494, AUC: 0.96, AP Score: 0.95
Pretraining EPNet (Epoch [ 76/160]) --- Loss: 0.492, AUC: 0.96, AP Score: 0.95
Pretraining EPNet (Epoch [ 77/160]) --- Loss: 0.491, AUC: 0.96, AP Score: 0.95
Pretraining EPNet (Epoch [ 78/160]) --- Loss: 0.490, AUC: 0.96, AP Score: 0.95
Pretraining EPNet (Epoch [ 79/160]) --- Loss: 0.490, AUC: 0.96, AP Score: 0.95
Pretraining EPNet (Epoch [ 80/160]) --- Loss: 0.489, AUC: 0.96, AP Score: 0.95
Pretraining EPNet (Epoch [ 81/160]) --- Loss: 0.488, AUC: 0.96, AP Score: 0.95
Pretraining EPNet (Epoch [ 82/160]) --- Loss: 0.487, AUC: 0.96, AP Score: 0.95
Pretraining EPNet (Epoch [ 83/160]) --- Loss: 0.486, AUC: 0.96, AP Score: 0.95
Pretraining EPNet (Epoch [ 84/160]) --- Loss: 0.486, AUC: 0.96, AP Score: 0.95
Pretraining EPNet (Epoch [ 85/160]) --- Loss: 0.485, AUC: 0.96, AP Score: 0.95
Pretraining EPNet (Epoch [ 86/160]) --- Loss: 0.484, AUC: 0.96, AP Score: 0.95
Pretraining EPNet (Epoch [ 87/160]) --- Loss: 0.484, AUC: 0.96, AP Score: 0.95
Pretraining EPNet (Epoch [ 88/160]) --- Loss: 0.483, AUC: 0.96, AP Score: 0.95
Pretraining EPNet (Epoch [ 89/160]) --- Loss: 0.483, AUC: 0.96, AP Score: 0.95
Pretraining EPNet (Epoch [ 90/160]) --- Loss: 0.482, AUC: 0.96, AP Score: 0.95
Pretraining EPNet (Epoch [ 91/160]) --- Loss: 0.481, AUC: 0.96, AP Score: 0.95
Pretraining EPNet (Epoch [ 92/160]) --- Loss: 0.481, AUC: 0.96, AP Score: 0.95
Pretraining EPNet (Epoch [ 93/160]) --- Loss: 0.480, AUC: 0.96, AP Score: 0.96
Pretraining EPNet (Epoch [ 94/160]) --- Loss: 0.480, AUC: 0.96, AP Score: 0.96
Pretraining EPNet (Epoch [ 95/160]) --- Loss: 0.479, AUC: 0.96, AP Score: 0.96
Pretraining EPNet (Epoch [ 96/160]) --- Loss: 0.479, AUC: 0.96, AP Score: 0.96
Pretraining EPNet (Epoch [ 97/160]) --- Loss: 0.478, AUC: 0.96, AP Score: 0.96
Pretraining EPNet (Epoch [ 98/160]) --- Loss: 0.478, AUC: 0.96, AP Score: 0.96
Pretraining EPNet (Epoch [ 99/160]) --- Loss: 0.477, AUC: 0.96, AP Score: 0.96
Pretraining EPNet (Epoch [100/160]) --- Loss: 0.477, AUC: 0.96, AP Score: 0.96
Pretraining EPNet (Epoch [101/160]) --- Loss: 0.476, AUC: 0.96, AP Score: 0.96
